"country","Loss_km2","Stable_km2","Gain_km2","Total_km2","Scenario","Total_Country_Area_km2","Pct_Country_in_Study"
"Myanmar",41157.2197023282,590586.28975304,17517.4894991071,649260.998954476,"SSP245 (2050)",662765.696333319,97.96
"India",39942.235026621,206991.172007143,4340.4616526043,251273.868686369,"SSP245 (2050)",3155818.26222803,7.96
"Thailand",24018.6415780789,471268.590065037,10459.0352134761,505746.266856592,"SSP245 (2050)",515729.89683376,98.06
"Laos",20113.5533026282,200462.089159095,8517.28116737937,229092.923629102,"SSP245 (2050)",228946.591685125,100.06
"Bangladesh",13769.3221786854,51534.0656112724,317.435289745338,65620.8230797031,"SSP245 (2050)",135650.502595845,48.37
"Vietnam",12567.3278218511,290901.928707372,7212.98073951561,310682.237268738,"SSP245 (2050)",328939.051416092,94.45
"Indonesia",11595.4384985454,1508263.83998654,104120.091463802,1623979.36994889,"SSP245 (2050)",1872165.98069069,86.74
"People's Republic of China",10877.3429162742,1961267.8549914,1259.7986145267,1973404.9965222,"SSP245 (2050)",9371236.92458495,21.06
"Malaysia",7167.23074929087,278671.363141735,16720.5594151149,302559.153306141,"SSP245 (2050)",327645.273149481,92.34
"Philippines",5352.02884870988,204717.423830989,3006.08535860511,213075.538038304,"SSP245 (2050)",290305.462535843,73.4
"Cambodia",4012.56231977265,169169.951035927,2999.4240109184,176181.937366618,"SSP245 (2050)",181362.801378638,97.14
"Brunei",340.854529859407,4772.46708360688,0,5113.32161346629,"SSP245 (2050)",5672.08017049182,90.15
"East Timor",338.190083794933,10814.3542406673,0,11152.5443244622,"SSP245 (2050)",15020.7358960739,74.25
"Bhutan",306.156007522652,24955.8207670658,0,25261.9767745884,"SSP245 (2050)",39876.6768112338,63.35
"Hong Kong",0,633.395916611237,0,633.395916611237,"SSP245 (2050)",1028.92148888619,61.56
"Papua New Guinea",0,13938.093218838,0,13938.093218838,"SSP245 (2050)",464290.58400706,3
"Singapore",0,341.817080348246,0,341.817080348246,"SSP245 (2050)",484.940113290968,70.49
"Taiwan",0,30732.3043086133,311.64791606102,31043.9522246743,"SSP245 (2050)",35998.425437454,86.24
"Thailand",49765.7842697406,444857.892935016,11122.589651835,505746.266856592,"SSP585 (2050)",515729.89683376,98.06
"Myanmar",48296.1433278592,584456.33555471,16508.5200719068,649260.998954476,"SSP585 (2050)",662765.696333319,97.96
"India",41161.9680366238,203006.954515609,7104.9461341358,251273.868686369,"SSP585 (2050)",3155818.26222803,7.96
"Indonesia",30050.5951503514,1477195.90380439,116732.870994143,1623979.36994889,"SSP585 (2050)",1872165.98069069,86.74
"Malaysia",18768.7413597752,272191.721950251,11598.6899961147,302559.153306141,"SSP585 (2050)",327645.273149481,92.34
"Laos",16219.2798588891,201731.795365202,11141.8484050115,229092.923629102,"SSP585 (2050)",228946.591685125,100.06
"Vietnam",16141.3334439832,290955.622712483,3585.28111227199,310682.237268738,"SSP585 (2050)",328939.051416092,94.45
"Bangladesh",14080.5632496807,51222.8245402771,317.435289745338,65620.8230797031,"SSP585 (2050)",135650.502595845,48.37
"People's Republic of China",7621.28744467588,1961620.34321705,4163.36586047455,1973404.9965222,"SSP585 (2050)",9371236.92458495,21.06
"Cambodia",7025.14381364682,167161.485051982,1995.30850098964,176181.937366618,"SSP585 (2050)",181362.801378638,97.14
"Philippines",5743.35178696755,200408.571894238,6923.61435709911,213075.538038304,"SSP585 (2050)",290305.462535843,73.4
"Brunei",2045.19752615008,3068.12408731621,0,5113.32161346629,"SSP585 (2050)",5672.08017049182,90.15
"East Timor",338.190083794933,10814.3542406673,0,11152.5443244622,"SSP585 (2050)",15020.7358960739,74.25
"Bhutan",306.156007522652,24650.1053362312,305.715430834564,25261.9767745884,"SSP585 (2050)",39876.6768112338,63.35
"Hong Kong",0,633.395916611237,0,633.395916611237,"SSP585 (2050)",1028.92148888619,61.56
"Papua New Guinea",0,13938.093218838,0,13938.093218838,"SSP585 (2050)",464290.58400706,3
"Singapore",0,341.817080348246,0,341.817080348246,"SSP585 (2050)",484.940113290968,70.49
"Taiwan",0,29484.1428850486,1559.8093396257,31043.9522246743,"SSP585 (2050)",35998.425437454,86.24
